word	translation	cognate
οὕτω (before consonants), οὕτως (before vowels), adv.	thus.so.as afore- said.Cf.οὗτος.	N/A
πᾶς, πᾶσα, πᾶν	sing..every.whole  pl.all.	PANDEMONIUM
πρῶτος: first	first: πρῶτον.adv.at first.	PROTOTYPE
φόβος	fear.	HYDROPHOBIA
αἰτέω, αἰτήσω, ἤτησα	ask for.demand.	N/A
δή, post-pos. particle emphasizing preceding word	now.then.accordingly.indeed.etc.Often untranslated.	N/A
δοκέω, δόξω, ἔδοξα	seem.seem best.think.Often with inf.as subject.	DOGMATIC
καλέω,1 καλῶ, ἐκάλεσα	call.name.	CALENDAR
ποιέω, ποιήσω, ἐποίησα	make.do.POET (ποιητής).	POET
πολεμέω, πολεμήσω, ἐπολέμησα	make war.Cf.πόλεμος.	N/A
φιλέω, φιλήσω, ἐφίλησα	love.Cf.φίλος.	N/A
μετα-πέμπομαι	send after.sum-	N/A
βούλομαι	wish.desire.mon.	N/A
πορεία	journey.	N/A
πορεύομαι	journey.march.	N/A
μάχομαι	fight.give battle.Cf.μάχη.	N/A
μετά, prep.	with G..with  with  A..after as a prefix.often denotes change.	METAPHOR
αἱρέω, αἱνήσω, εἷλον	take.seize.capture mid.take for yourself.choose.	HERESY
δεσπότης, του, ὁ	master.	DESPOT
δεξιός: right, righthand, clever : ἡ δεξιᾷ	right.righthand.clever : ἡ δεξιᾷ: the right.Lat.dexter.	N/A
γίγνομαι, γενήσομαι, ἐγενόμην	become.be born.be.prove to be.ecliptic.	GENESIS
δέχομαι, δέξομαι, ἐδεξάμην	accept.await.receive.	N/A
εἰμί, ἔσομαι	Be.	N/A
ϑυμός	spirit.temper.mind.	N/A
νέος	new.young.fresh.Lat.novus.	NEOPHYTE
παρα-σκευάζω, παρα-σκευάσω, παρ-εσκεύασα	prepare mid..prepare oneself or for oneself.	N/A
πρόθυμος 1	eager.ready.	N/A
χαλεπός	hard.severe.ltgt	N/A
δεύτερος	second.	DEUTERONOMY
τράπεζα	table.	TRAPEZOID
τρίτος	third.	TRISYLLABIC
καλῶς, adv.	well.Cf.καλός.	N/A
κεφαλή	head.	CEPHALIC
οὐκ-έτι, adv.	not longer.no longer.never again.ltgt	N/A
γῦν, adv.	now..Lat.nune.	N/A
πόσος, inter. adj.	how large pl..how many?	N/A
πότε, inter. ady.	when?	N/A
ποτέ,2 indef. adv.	“somewhen.” once.	N/A
ποῦ, inter. adv.	where?	N/A
που, indef. adv.	somewhere.	N/A
πῶς, inter. ady.	how ?	N/A
πως, indef, adv.	somehow.in any way.	N/A
τίς, τί, inter. pron.	who.what?	N/A
τις, τι, indef. pron.	some.any.	N/A
χρόνος	time	CHRONOMETER
οὔτε . . . οὔ-τε, neg. conj.	neither nor.	N/A
πάσχω, πείσομαι, ἔπαθον	be treated.experience.suffer.	SYMPATHY
μη(κ)ἔτι,1 2 adv.	no longer.never again.	N/A
μήτε, neg. conj.	neither...nor.	N/A
τε, enclit. conj.: and. Usually followed by kai	and.Usually followed by kai: both...and.	N/A
φέρω, οἴσω, ἤνεγκα	bear.carry.	CHRISTOPHER
δεῖ, δεήσει, ἐδέησε, impers.	be necessary.Usually followed by A.and inf.	N/A
διδάσκω, διδάξω, ἐδίδαξα	teach.	DIDACTIC
μᾶλλον, adv.	rather (than).more (than).	N/A
πάλαι, adv.	long ago.	PALAEOZOIC
σοφός	wise.	SOPHOMORE
σοφία	wisdom.	SOPHIA
